,Hastag,timestamp,positive,negative,medium
334,mahsaamini,2022-11-17,0.077196829375,0.16289806625,0.7599051343750001
335,qatar,2022-11-17,0.08968262,0.12971915,0.7805982
336,mahsa_amini,2022-11-17,0.07272826,0.16607903,0.76119274
337,iranrevolution,2022-11-17,0.07272826,0.16607903,0.76119274
338,qatar2022,2022-11-17,0.1113111338095238,0.1735123895238095,0.7151764976190476
339,tehran,2022-11-17,0.07272826,0.16607903,0.76119274
340,womenlifefreedom,2022-11-17,0.07272826,0.16607903,0.76119274
341,iranprotests,2022-11-17,0.07272826,0.16607903,0.76119274
342,wc2022,2022-11-17,0.07272826,0.16607903,0.76119274
343,fifaworldcup2022,2022-11-17,0.07272826,0.16607903,0.76119274
344,iran,2022-11-17,0.068758551875,0.2022079218749999,0.7290335587500001
345,iranrevolution,2022-11-18,0.05947872125,0.2503735725,0.69014773875
346,fifa,2022-11-18,0.11883039,0.03699669,0.84417295
347,mahsa_amini,2022-11-18,0.07272826,0.16607903,0.7611927399999999
348,ecu,2022-11-18,0.04355132,0.06637771,0.8900709
349,giveaway,2022-11-18,0.1276098,0.20210113,0.67028904
350,tehran,2022-11-18,0.07272826,0.16607903,0.7611927399999999
351,worldcup,2022-11-18,0.10305698125,0.13291026625,0.76403278625
352,fifaworldcup2022,2022-11-18,0.07272826,0.16607903,0.7611927399999999
353,freeiran,2022-11-18,0.07272826,0.16607903,0.7611927399999999
354,iranrevolution2022,2022-11-18,0.07272826,0.16607903,0.7611927399999999
355,r2pforiran,2022-11-18,0.07272826,0.16607903,0.7611927399999999
356,qatar2022,2022-11-18,0.1165948876470588,0.1018136070588235,0.7815915267647059
357,mahsaamini,2022-11-18,0.0633699471428571,0.2633490257142857,0.6732810514285715
358,opiran,2022-11-18,0.07272826,0.16607903,0.7611927399999999
359,qatar,2022-11-18,0.0387276899999999,0.34714905,0.6141232249999999
360,womenlifefreedom,2022-11-18,0.07272826,0.16607903,0.7611927399999999
361,fifaworldcupqatar2022,2022-11-18,0.36106217,0.09924975,0.5396881
362,ecuador,2022-11-18,0.08064484,0.0457477,0.8736074
363,iran,2022-11-18,0.0633699471428571,0.2633490257142857,0.6732810514285715
364,iranprotests,2022-11-18,0.07272826,0.16607903,0.7611927399999999
365,freedom,2022-11-18,0.07272826,0.16607903,0.7611927399999999
366,irn,2022-11-18,0.04355132,0.06637771,0.8900709
367,worldcup2022,2022-11-18,0.07272826,0.16607903,0.7611927399999999
368,iranprotests2022,2022-11-18,0.07272826,0.16607903,0.7611927399999999
369,qatarworldcup2022,2022-11-18,0.08064484,0.0457477,0.8736074
370,irgc,2022-11-18,0.07272826,0.16607903,0.7611927399999999
371,iranrevoiution,2022-11-18,0.03521343,0.26803336,0.6967532
372,wc2022,2022-11-18,0.07272826,0.16607903,0.7611927399999999
373,fifaworldcup,2022-11-18,0.07272826,0.16607903,0.7611927399999999
374,iran,2022-11-19,0.07272826,0.16607903,0.76119274
375,worldcup2022,2022-11-19,0.101956412173913,0.1422379286956521,0.755805687826087
376,mahsaamini,2022-11-19,0.07272826,0.16607903,0.76119274
377,wc2022,2022-11-19,0.07272826,0.16607903,0.76119274
378,opiran,2022-11-19,0.07272826,0.16607903,0.76119274
379,qatar,2022-11-19,0.058410405,0.108993855,0.83259575
380,irgc,2022-11-19,0.07272826,0.16607903,0.76119274
381,usairn,2022-11-19,0.01146892,0.82083267,0.16769844
382,fifaworldcup2022,2022-11-19,0.07272826,0.16607903,0.76119274
383,freedom,2022-11-19,0.07272826,0.16607903,0.76119274
384,fifa,2022-11-19,0.08310209,0.0552512,0.8616467
385,worldcup,2022-11-19,0.5322340548768473,0.0346261122660098,0.4331398252216749
386,womenlifefreedom,2022-11-19,0.07272826,0.16607903,0.76119274
387,iranrevolution2022,2022-11-19,0.07272826,0.16607903,0.76119274
388,saytheirnames,2022-11-19,0.03403494,0.14841186,0.81755316
389,fifaworldcup,2022-11-19,0.5315480424630542,0.0351217746305418,0.4333301741871921
390,usa,2022-11-19,0.01146892,0.82083267,0.16769844
391,iranprotests,2022-11-19,0.07272826,0.16607903,0.76119274
392,iranprotests2022,2022-11-19,0.07272826,0.16607903,0.76119274
393,qatarworldcup2022,2022-11-19,0.2348273374999999,0.02696438,0.738208325
394,tehran,2022-11-19,0.07272826,0.16607903,0.76119274
395,fifaworldcupqatar2022,2022-11-19,0.08310209,0.0552512,0.8616467
396,qa,2022-11-19,0.07929547,0.0501579,0.8705466
397,qatar2022,2022-11-19,0.4575446576344086,0.0691443525806451,0.4733109724731182
398,r2pforiran,2022-11-19,0.07272826,0.16607903,0.76119274
399,freeiran,2022-11-19,0.07272826,0.16607903,0.76119274
400,mahsa_amini,2022-11-19,0.07272826,0.16607903,0.76119274
401,iranrevolution,2022-11-19,0.0692110042105263,0.2008028652631578,0.7299861605263158
402,mundialqatar2022,2022-11-20,0.0590184483333333,0.0530936966666666,0.8878878616666667
403,freeiran,2022-11-20,0.07272826,0.16607903,0.7611927400000001
404,football,2022-11-20,0.780568275,0.00542437,0.214007415
405,iranprotests2022,2022-11-20,0.07272826,0.16607903,0.7611927400000001
